#1+z Log10(Mass/Msun) Log10(Median_SFR_for_SF_Halos/(Msun/yr)) One-sigma-uncertainty(dex)
1.02802 14.95 0.925022 0.6649
1.02802 15 0.936168 0.674491
1.03753 10 -3.23754 0.226443
1.03753 10.05 -3.12416 0.218643
1.03753 10.1 -3.0108 0.207662
1.03753 10.15 -2.89748 0.197222
1.03753 10.2 -2.7842 0.186951
1.03753 10.25 -2.67097 0.180511
1.03753 10.3 -2.55779 0.175547
1.03753 10.35 -2.44467 0.170469
1.03753 10.4 -2.33162 0.167135
1.03753 10.45 -2.21863 0.164474
1.03753 10.5 -2.10568 0.159523
1.03753 10.55 -1.99272 0.154275
1.03753 10.6 -1.87967 0.150566
1.03753 10.65 -1.76643 0.146866
1.03753 10.7 -1.65289 0.14407
1.03753 10.75 -1.53893 0.144764
1.03753 10.8 -1.42449 0.144758
1.03753 10.85 -1.30963 0.143902
1.03753 10.9 -1.1946 0.146271
1.03753 10.95 -1.07984 0.144819
1.03753 11 -0.966057 0.145741
1.03753 11.05 -0.854134 0.144497
1.03753 11.1 -0.745103 0.143143
1.03753 11.15 -0.640033 0.146065
1.03753 11.2 -0.539946 0.145869
1.03753 11.25 -0.445728 0.144093
1.03753 11.3 -0.358078 0.142369
1.03753 11.35 -0.277475 0.142181
1.03753 11.4 -0.204161 0.139164
1.03753 11.45 -0.138146 0.137163
1.03753 11.5 -0.0792222 0.134304
1.03753 11.55 -0.02699 0.135334
1.03753 11.6 0.0191042 0.139084
1.03753 11.65 0.0597211 0.137472
1.03753 11.7 0.0955724 0.139104
1.03753 11.75 0.127366 0.138164
1.03753 11.8 0.155758 0.143927
1.03753 11.85 0.181322 0.150726
1.03753 11.9 0.204535 0.150944
1.03753 11.95 0.225781 0.152191
1.03753 12 0.245364 0.155774
1.03753 12.05 0.263531 0.161677
1.03753 12.1 0.280486 0.165373
1.03753 12.15 0.296406 0.167675
1.03753 12.2 0.311447 0.171685
1.03753 12.25 0.325749 0.173315
1.03753 12.3 0.339436 0.181485
1.03753 12.35 0.352616 0.18604
1.03753 12.4 0.365383 0.19124
1.03753 12.45 0.377817 0.199409
1.03753 12.5 0.389984 0.204185
1.03753 12.55 0.401936 0.212908
1.03753 12.6 0.413718 0.218018
1.03753 12.65 0.425365 0.226742
1.03753 12.7 0.436905 0.2341
1.03753 12.75 0.448359 0.243294
1.03753 12.8 0.459747 0.250164
1.03753 12.85 0.471081 0.255042
1.03753 12.9 0.482374 0.260408
1.03753 12.95 0.493633 0.271338
1.03753 13 0.504866 0.278164
1.03753 13.05 0.516078 0.283936
1.03753 13.1 0.527274 0.290911
1.03753 13.15 0.538456 0.299485
1.03753 13.2 0.549629 0.307969
1.03753 13.25 0.560793 0.315709
1.03753 13.3 0.571951 0.322352
1.03753 13.35 0.583104 0.33106
1.03753 13.4 0.594253 0.335753
1.03753 13.45 0.605398 0.343026
1.03753 13.5 0.616542 0.352926
1.03753 13.55 0.627683 0.359966
1.03753 13.6 0.638823 0.371409
1.03753 13.65 0.649961 0.381059
1.03753 13.7 0.661099 0.389463
1.03753 13.75 0.672235 0.394698
1.03753 13.8 0.683372 0.401144
1.03753 13.85 0.694507 0.410829
1.03753 13.9 0.705643 0.420807
1.03753 13.95 0.716777 0.430835
1.03753 14 0.727912 0.440233
1.03753 14.05 0.739047 0.449554
1.03753 14.1 0.750181 0.458479
1.03753 14.15 0.761315 0.466648
1.03753 14.2 0.77245 0.474817
1.03753 14.25 0.783584 0.482985
1.03753 14.3 0.794718 0.492574
1.03753 14.35 0.805852 0.500548
1.03753 14.4 0.816986 0.509624
1.03753 14.45 0.82812 0.519892
1.03753 14.5 0.839254 0.531587
1.03753 14.55 0.850388 0.541996
1.03753 14.6 0.861522 0.553008
