#Model: 0.104160800000 1.830857660000 -0.278375930000 2.482630900000 2.060239220000 0.322896640000 -0.099136200000 0.696256730000 -6.783021920000 -0.740212860000 -0.243005030000 2.357406780000 -0.670161000000 0.032409440000 0.705463040000 0.078203160000 -1.313028390000 3.345707840000 -0.969087940000 -0.340795970000 1.677667720000 0.422031030000 3.105399340000 0.361458860000 2.955837030000 -0.110232830000 4.023850140000 2.321001140000 -0.161718440000 0.208850790000 0.446655700000 -1.141828020000 1.067118400000 0.102460660000 -0.229540280000 0.209918420000 0.070000000000 0.040711970000 -0.160329600000 -0.125858630000 0.332955620000 8.977376730000 -0.043766440000 0.426113490000 0.600463510000 0 356.934366097907
#Type Subtype Z1 Z2 step1 step2 SM1 SM2 smb1 smb2 R1 R2 Val Err_h Err_l Model_Val MV+ MV- Chi2 Chi2+ Chi2-
smf a 0.200000 0.300000 146 155 10.600000 10.700000 72 74 0.000000 0.000000 -2.436292e+00 0.060545 0.057423 -2.416051e+00 2.236694e-02 5.537618e-03 1.676583e-05 0.000000e+00 0.000000e+00
smf a 0.200000 0.300000 146 155 10.700000 10.800000 74 76 0.000000 0.000000 -2.541429e+00 0.057827 0.055831 -2.485006e+00 2.303111e-02 5.327695e-03 4.019291e-01 0.000000e+00 0.000000e+00
smf a 0.200000 0.300000 146 155 10.800000 10.900000 76 78 0.000000 0.000000 -2.624489e+00 0.078158 0.066443 -2.570422e+00 1.790640e-02 8.422695e-03 2.086187e-01 0.000000e+00 0.000000e+00
smf a 0.200000 0.300000 146 155 10.900000 11.000000 78 80 0.000000 0.000000 -2.729152e+00 0.092117 0.084155 -2.681234e+00 1.408385e-02 1.697664e-02 9.791646e-02 0.000000e+00 0.000000e+00
csfr a 0.800000 0.820000 109 110 10.000000 10.000000 60 60 0.000000 0.000000 -1.162233e+00 0.130384 0.130384 -1.198156e+00 2.749833e-02 9.834325e-03 1.491556e-02 0.000000e+00 0.000000e+00
uvlf a 9.500000 11.000000 11 15 -21.650000 -20.850000 47 63 0.000000 0.000000 -6.045757e+00 0.250077 0.653289 -5.787305e+00 3.755195e-02 4.648420e-01 8.726060e-01 0.000000e+00 0.000000e+00
uvlf a 9.500000 11.000000 11 15 -20.850000 -20.050000 63 79 0.000000 0.000000 -4.744727e+00 0.189037 0.341605 -4.915856e+00 4.450109e-02 2.645184e-01 2.775946e-01 0.000000e+00 0.000000e+00
smf a 2.000000 2.500000 56 66 10.400000 10.550000 68 71 0.000000 0.000000 -3.138983e+00 0.132415 0.156730 -3.042569e+00 2.247241e-02 1.873493e-02 3.105358e-01 0.000000e+00 0.000000e+00
smf a 2.000000 2.500000 56 66 10.550000 10.750000 71 75 0.000000 0.000000 -3.180773e+00 0.119939 0.119391 -3.158020e+00 2.501832e-02 1.703026e-02 5.290092e-04 0.000000e+00 0.000000e+00
smf a 2.000000 2.500000 56 66 10.750000 10.900000 75 78 0.000000 0.000000 -3.232583e+00 0.090036 0.082507 -3.304044e+00 3.455297e-02 1.307588e-02 3.765519e-01 0.000000e+00 0.000000e+00
smf a 2.000000 2.500000 56 66 10.900000 11.050000 78 81 0.000000 0.000000 -3.444463e+00 0.158860 0.159813 -3.458772e+00 3.251271e-02 2.146118e-02 0.000000e+00 0.000000e+00 0.000000e+00
smf a 2.000000 2.500000 56 66 11.050000 11.250000 81 85 0.000000 0.000000 -3.740203e+00 0.192325 0.185053 -3.721305e+00 3.667077e-02 2.178653e-02 0.000000e+00 0.000000e+00 0.000000e+00
smf a 2.000000 2.500000 56 66 11.250000 11.400000 85 88 0.000000 0.000000 -4.103623e+00 0.177267 0.202692 -4.088269e+00 4.760157e-02 2.287954e-02 0.000000e+00 0.000000e+00 0.000000e+00
smf a 2.000000 2.500000 56 66 11.400000 11.600000 88 92 0.000000 0.000000 -4.676153e+00 0.343851 0.397616 -4.553977e+00 7.380560e-02 4.283541e-02 7.994176e-02 0.000000e+00 0.000000e+00
smf a 2.000000 2.500000 56 66 11.600000 11.750000 92 95 0.000000 0.000000 -5.349783e+00 0.299636 0.671770 -5.196528e+00 1.588052e-01 9.459072e-02 1.344799e-01 0.000000e+00 0.000000e+00
smf a 0.200000 0.500000 132 155 8.200000 8.450000 24 29 0.000000 0.000000 -1.573003e+00 0.092667 0.078798 -1.589663e+00 1.353624e-02 2.090486e-02 0.000000e+00 0.000000e+00 0.000000e+00
smf a 0.200000 0.500000 132 155 8.450000 8.750000 29 35 0.000000 0.000000 -1.690613e+00 0.041506 0.066224 -1.725330e+00 1.305243e-02 1.645097e-02 7.317490e-02 0.000000e+00 0.000000e+00
smf a 0.200000 0.500000 132 155 8.750000 9.000000 35 40 0.000000 0.000000 -1.811183e+00 0.057239 0.050470 -1.862457e+00 1.531136e-02 1.251743e-02 3.662666e-01 0.000000e+00 0.000000e+00
smf a 0.200000 0.500000 132 155 9.000000 9.300000 40 46 0.000000 0.000000 -1.899623e+00 0.057082 0.088069 -1.984438e+00 1.282191e-02 5.621557e-03 6.082857e-01 0.000000e+00 0.000000e+00
smf a 0.200000 0.500000 132 155 9.300000 9.600000 46 52 0.000000 0.000000 -2.073813e+00 0.066576 0.047304 -2.094951e+00 1.372808e-02 5.527581e-03 4.269393e-04 0.000000e+00 0.000000e+00
smf a 0.200000 0.500000 132 155 9.600000 9.850000 52 57 0.000000 0.000000 -2.173193e+00 0.054416 0.054966 -2.177881e+00 1.322505e-02 5.251415e-03 0.000000e+00 0.000000e+00 0.000000e+00
smf a 0.200000 0.500000 132 155 9.850000 10.150000 57 63 0.000000 0.000000 -2.248523e+00 0.054259 0.056652 -2.237175e+00 1.023002e-02 2.762893e-03 0.000000e+00 0.000000e+00 0.000000e+00
smf a 0.200000 0.500000 132 155 10.150000 10.400000 63 68 0.000000 0.000000 -2.299073e+00 0.059852 0.054017 -2.289390e+00 1.251128e-02 5.530539e-03 0.000000e+00 0.000000e+00 0.000000e+00
smf a 0.200000 0.500000 132 155 10.400000 10.700000 68 74 0.000000 0.000000 -2.369593e+00 0.063584 0.055692 -2.370956e+00 2.003406e-02 4.813343e-03 0.000000e+00 0.000000e+00 0.000000e+00
smf a 0.200000 0.500000 132 155 10.700000 10.950000 74 79 0.000000 0.000000 -2.558583e+00 0.076958 0.060524 -2.550758e+00 1.696761e-02 9.215543e-03 0.000000e+00 0.000000e+00 0.000000e+00
smf a 0.200000 0.500000 132 155 10.950000 11.200000 79 84 0.000000 0.000000 -2.888923e+00 0.084171 0.107609 -2.870102e+00 7.603947e-03 2.900333e-02 0.000000e+00 0.000000e+00 0.000000e+00
smf a 0.200000 0.500000 132 155 11.200000 11.450000 84 89 0.000000 0.000000 -3.331043e+00 0.171890 0.212490 -3.374657e+00 1.436525e-02 5.283633e-02 1.504221e-02 0.000000e+00 0.000000e+00
smf a 0.200000 0.500000 132 155 11.450000 11.850000 89 97 0.000000 0.000000 -4.236263e+00 0.181758 0.207842 -4.225697e+00 4.065236e-02 6.120808e-02 0.000000e+00 0.000000e+00 0.000000e+00
smf a 0.200000 0.500000 132 155 11.850000 12.300000 97 106 0.000000 0.000000 -5.210713e+00 0.349977 999.868000 -5.767806e+00 1.505190e-01 1.480830e-01 1.886960e-01 0.000000e+00 0.000000e+00
qf_uvj a 1.000000 1.500000 79 99 11.700000 11.800000 94 96 0.000000 0.000000 1.000000e+00 0.010000 1.000050 9.086844e-01 5.946927e-02 3.255283e-02 6.320204e-01 0.000000e+00 0.000000e+00
qf_uvj a 1.000000 1.500000 79 99 11.600000 11.700000 92 94 0.000000 0.000000 8.000000e-01 0.200250 0.800062 8.654247e-01 7.679116e-02 1.786939e-02 2.402102e-02 0.000000e+00 0.000000e+00
