#Observed stellar mass range: 7.6 < log10(M*/Msun) < 7.8
#Quenched: SFR / SM < 1e-11 / yr
#Galaxies at z=0 are selected as quenched via observed SSFR.
#Quenching histories are based on true SSFR.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit_X_Galaxies_Remaining: number of galaxies with most-massive progenitor trees extending to the scale factor in question.
#Scale_factor F(Q)_given_SF@z=0 Err+ Err- F(Q)_given_Q@z=0 Err+ Err- Bestfit_SF_Galaxies_Remaining Bestfit_Q_Galaxies_Remaining
0.146748 0.000697316 0.0115217 0.000661689 0.00124464 0.0189087 0.00116835 448864 95610
0.141685 0.000617113 0.00888488 0.000573483 0.000909947 0.01538 0.000848919 448864 95610
0.136623 0.000628253 0.00771969 0.000581105 0.00107729 0.0138554 0.00101962 448864 95610
0.133248 0.000588151 0.00693146 0.000547404 0.00115051 0.0129135 0.0010563 448864 95610
0.129873 0.000463392 0.00570703 0.000427439 0.00105637 0.0108185 0.000975638 448864 95610
0.126498 0.00040324 0.00419782 0.00037858 0.000941324 0.00874275 0.000849053 448864 95610
0.123123 0.000245063 0.00274049 0.000225286 0.000679845 0.00591759 0.000638319 448864 95610
0.119748 0.000189367 0.00175796 0.000180252 0.00049158 0.00436857 0.000450055 448864 95610
0.116373 0.00014481 0.00125756 0.000139866 0.000397448 0.00341033 0.000364227 448864 95610
0.112998 8.6886e-05 0.00078907 8.23286e-05 0.000261479 0.002269 0.000228339 448864 95610
0.109623 6.01519e-05 0.000449463 5.7755e-05 0.000167347 0.00147809 0.000167347 448864 95610
0.106248 2.45063e-05 0.00018844 2.2362e-05 3.13775e-05 0.000769964 3.13775e-05 448864 95610
0.102873 1.33671e-05 0.000110311 1.1163e-05 7.32141e-05 0.000377045 7.32141e-05 448864 95610
0.099498 1.11392e-05 5.63282e-05 8.98792e-06 2.09183e-05 0.000303182 2.09183e-05 448864 95610
0.096123 4.45569e-06 2.81701e-05 4.45569e-06 2.09183e-05 0.000158928 2.09183e-05 448864 95610
0.092748 0 1.34342e-05 0 2.09183e-05 4.54761e-05 2.09183e-05 448864 95610
0.089373 0 7.37692e-06 0 0 2.96793e-05 0 448864 95610
0.085998 0 2.29308e-06 0 0 1.59288e-05 0 448864 95610
0.082623 0 0 0 0 1.01225e-05 0 448864 95610
0.080373 0 0 0 0 0 0 448864 95610
0.078123 0 0 0 0 0 0 448864 95610
0.075873 0 0 0 0 0 0 448864 95610
0.073623 0 0 0 0 0 0 448864 95610
0.071373 0 0 0 0 0 0 448864 95610
0.069123 0 0 0 0 0 0 448864 95610
0.066873 0 0 0 0 0 0 448864 95610
0.064623 0 0 0 0 0 0 448864 95610
0.062373 0 0 0 0 0 0 448864 95610
0.060123 0 0 0 0 0 0 448864 95610
0.055623 0 0 0 0 0 0 448864 95610
