#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 9.75 - 10.25
#HM   Stats: 6.297060e+11 (median) + 3.001470e+11  / - 1.942650e+11
#SM   Stats: 9.151870e+09 (median) + 4.939031e+09  / - 2.677170e+09
#VMP  Stats: 1.857600e+02 (median) + 2.345001e+01  / - 1.767999e+01
#ICL  Stats: 6.397690e+07 (median) + 1.954911e+08  / - 5.302450e+07
#SSFR Stats: 2.024182e-09 (median) + 3.052361e-09  / - 1.299427e-09
iclh 0.31381 5.79445e-05 0.00651507 5.79445e-05 #avg: 0.0208744; avg_err: 0.0013154; sd: 0.338013; counts: 66032
iclh 0.318873 0 0.00324488 0 #avg: 0.0159878; avg_err: 0.00143399; sd: 0.368485; counts: 66032
iclh 0.323935 0 0.00108309 0 #avg: 0.0125729; avg_err: 0.0019769; sd: 0.507994; counts: 66032
iclh 0.328997 0 9.14624e-05 0 #avg: 0.00721326; avg_err: 0.00188636; sd: 0.484728; counts: 66032
iclh 0.33406 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 66032
sm_mp 0.055623 0 0 0 #avg: 19786.4; avg_err: 16524.6; sd: 4.24624e+06; counts: 66032
sm_mp 0.060123 0 0 0 #avg: 37045.1; avg_err: 19377.1; sd: 4.97923e+06; counts: 66032
sm_mp 0.062373 0 0 0 #avg: 82236.9; avg_err: 25083.9; sd: 6.44568e+06; counts: 66032
sm_mp 0.064623 0 0 0 #avg: 182212; avg_err: 39162.4; sd: 1.00634e+07; counts: 66032
sm_mp 0.066873 0 0 0 #avg: 354457; avg_err: 55710.4; sd: 1.43156e+07; counts: 66032
sm_mp 0.069123 0 0 0 #avg: 612408; avg_err: 76400.8; sd: 1.96323e+07; counts: 66032
sm_mp 0.071373 0 0 0 #avg: 988295; avg_err: 95210.4; sd: 2.44657e+07; counts: 66032
sm_mp 0.073623 0 0 0 #avg: 1.52519e+06; avg_err: 111922; sd: 2.87601e+07; counts: 66032
sm_mp 0.075873 0 0 0 #avg: 2.26138e+06; avg_err: 126209; sd: 3.24312e+07; counts: 66032
sm_mp 0.078123 0 0 0 #avg: 3.26574e+06; avg_err: 145698; sd: 3.74393e+07; counts: 66032
sm_mp 0.080373 0 159790 0 #avg: 4.54218e+06; avg_err: 170016; sd: 4.36881e+07; counts: 66032
sm_mp 0.082623 0 700361 0 #avg: 5.9793e+06; avg_err: 193524; sd: 4.97289e+07; counts: 66032
sm_mp 0.085998 0 2.87233e+06 0 #avg: 8.70754e+06; avg_err: 235759; sd: 6.05819e+07; counts: 66032
sm_mp 0.089373 0 7.35645e+06 0 #avg: 1.2342e+07; avg_err: 292017; sd: 7.50382e+07; counts: 66032
sm_mp 0.092748 0 1.4329e+07 0 #avg: 1.68436e+07; avg_err: 350201; sd: 8.99894e+07; counts: 66032
sm_mp 0.096123 190208 2.29599e+07 190208 #avg: 2.23193e+07; avg_err: 412282; sd: 1.05942e+08; counts: 66032
sm_mp 0.099498 777268 3.25423e+07 777268 #avg: 2.88535e+07; avg_err: 482951; sd: 1.24101e+08; counts: 66032
sm_mp 0.102873 1.94055e+06 4.2769e+07 1.94055e+06 #avg: 3.66418e+07; avg_err: 565940; sd: 1.45427e+08; counts: 66032
sm_mp 0.106248 3.83394e+06 5.47293e+07 3.83394e+06 #avg: 4.5724e+07; avg_err: 667608; sd: 1.71552e+08; counts: 66032
sm_mp 0.109623 6.45177e+06 6.82856e+07 6.45177e+06 #avg: 5.61287e+07; avg_err: 772331; sd: 1.98462e+08; counts: 66032
sm_mp 0.112998 9.82831e+06 8.3536e+07 9.82831e+06 #avg: 6.79535e+07; avg_err: 875933; sd: 2.25084e+08; counts: 66032
sm_mp 0.116373 1.38085e+07 1.01278e+08 1.37043e+07 #avg: 8.1471e+07; avg_err: 982628; sd: 2.52501e+08; counts: 66032
sm_mp 0.119748 1.86327e+07 1.21517e+08 1.82746e+07 #avg: 9.69895e+07; avg_err: 1.10033e+06; sd: 2.82745e+08; counts: 66032
