#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 14.25 - 14.75
#HM   Stats: 2.177940e+14 (median) + 0.000000e+00  / - 0.000000e+00
#SM   Stats: 1.070280e+11 (median) + 0.000000e+00  / - 0.000000e+00
#VMP  Stats: 7.853000e+02 (median) + 0.000000e+00  / - 0.000000e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.122453e-11 (median) + 0.000000e+00  / - 0.000000e+00
iclh 0.112998 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1
iclh 0.116373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1
iclh 0.119748 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1
iclh 0.123123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1
iclh 0.126498 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1
iclh 0.129873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1
iclh 0.133248 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1
iclh 0.136623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1
iclh 0.141685 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1
iclh 0.146748 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1
iclh 0.15181 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1
iclh 0.156873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1
iclh 0.161935 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1
iclh 0.166998 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1
iclh 0.17206 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1
iclh 0.177123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1
iclh 0.182185 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1
