#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#mpeak range: 14.25 - 14.75
#HM   Stats: 2.177940e+14 (median) + 0.000000e+00  / - 0.000000e+00
#SM   Stats: 1.070280e+11 (median) + 0.000000e+00  / - 0.000000e+00
#VMP  Stats: 7.853000e+02 (median) + 0.000000e+00  / - 0.000000e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.122453e-11 (median) + 0.000000e+00  / - 0.000000e+00
sfh 0.440372 4.21801e-11 0 0 #avg: 4.21801e-11; avg_err: 4.21801e-11; sd: 0; counts: 1
sfh 0.445435 4.88061e-11 0 0 #avg: 4.88061e-11; avg_err: 4.88061e-11; sd: 0; counts: 1
sfh 0.450497 4.74864e-11 0 0 #avg: 4.74864e-11; avg_err: 4.74864e-11; sd: 0; counts: 1
sfh 0.45556 5.02397e-11 0 0 #avg: 5.02397e-11; avg_err: 5.02397e-11; sd: 0; counts: 1
sfh 0.460622 5.43185e-11 0 0 #avg: 5.43185e-11; avg_err: 5.43185e-11; sd: 0; counts: 1
sfh 0.465685 5.01012e-11 0 0 #avg: 5.01012e-11; avg_err: 5.01012e-11; sd: 0; counts: 1
sfh 0.470747 5.16315e-11 0 0 #avg: 5.16315e-11; avg_err: 5.16315e-11; sd: 0; counts: 1
sfh 0.47581 5.23343e-11 0 0 #avg: 5.23343e-11; avg_err: 5.23343e-11; sd: 0; counts: 1
sfh 0.480872 5.54586e-11 0 0 #avg: 5.54586e-11; avg_err: 5.54586e-11; sd: 0; counts: 1
sfh 0.485935 6.06225e-11 0 0 #avg: 6.06225e-11; avg_err: 6.06225e-11; sd: 0; counts: 1
sfh 0.490997 6.61547e-11 0 0 #avg: 6.61547e-11; avg_err: 6.61547e-11; sd: 0; counts: 1
sfh 0.49606 6.41106e-11 0 0 #avg: 6.41106e-11; avg_err: 6.41106e-11; sd: 0; counts: 1
sfh 0.501122 6.37693e-11 0 0 #avg: 6.37693e-11; avg_err: 6.37693e-11; sd: 0; counts: 1
sfh 0.506185 5.75381e-11 0 0 #avg: 5.75381e-11; avg_err: 5.75381e-11; sd: 0; counts: 1
sfh 0.511247 5.13118e-11 0 0 #avg: 5.13118e-11; avg_err: 5.13118e-11; sd: 0; counts: 1
sfh 0.51631 4.89364e-11 0 0 #avg: 4.89364e-11; avg_err: 4.89364e-11; sd: 0; counts: 1
sfh 0.521372 5.20611e-11 0 0 #avg: 5.20611e-11; avg_err: 5.20611e-11; sd: 0; counts: 1
sfh 0.526435 4.97732e-11 0 0 #avg: 4.97732e-11; avg_err: 4.97732e-11; sd: 0; counts: 1
sfh 0.531497 5.1534e-11 0 0 #avg: 5.1534e-11; avg_err: 5.1534e-11; sd: 0; counts: 1
sfh 0.53656 4.7589e-11 0 0 #avg: 4.7589e-11; avg_err: 4.7589e-11; sd: 0; counts: 1
sfh 0.541622 4.83648e-11 0 0 #avg: 4.83648e-11; avg_err: 4.83648e-11; sd: 0; counts: 1
sfh 0.546685 5.37856e-11 0 0 #avg: 5.37856e-11; avg_err: 5.37856e-11; sd: 0; counts: 1
sfh 0.551747 5.61206e-11 0 0 #avg: 5.61206e-11; avg_err: 5.61206e-11; sd: 0; counts: 1
sfh 0.55681 5.35225e-11 0 0 #avg: 5.35225e-11; avg_err: 5.35225e-11; sd: 0; counts: 1
sfh 0.561872 4.92799e-11 0 0 #avg: 4.92799e-11; avg_err: 4.92799e-11; sd: 0; counts: 1
sfh 0.566935 4.5897e-11 0 0 #avg: 4.5897e-11; avg_err: 4.5897e-11; sd: 0; counts: 1
sfh 0.571997 4.47735e-11 0 0 #avg: 4.47735e-11; avg_err: 4.47735e-11; sd: 0; counts: 1
sfh 0.57706 4.43771e-11 0 0 #avg: 4.43771e-11; avg_err: 4.43771e-11; sd: 0; counts: 1
sfh 0.582123 5.14839e-11 0 0 #avg: 5.14839e-11; avg_err: 5.14839e-11; sd: 0; counts: 1
sfh 0.587185 4.51876e-11 0 0 #avg: 4.51876e-11; avg_err: 4.51876e-11; sd: 0; counts: 1
sfh 0.592248 4.43444e-11 0 0 #avg: 4.43444e-11; avg_err: 4.43444e-11; sd: 0; counts: 1
sfh 0.59731 4.33922e-11 0 0 #avg: 4.33922e-11; avg_err: 4.33922e-11; sd: 0; counts: 1
sfh 0.602373 4.57922e-11 0 0 #avg: 4.57922e-11; avg_err: 4.57922e-11; sd: 0; counts: 1
sfh 0.607435 4.1536e-11 0 0 #avg: 4.1536e-11; avg_err: 4.1536e-11; sd: 0; counts: 1
sfh 0.612498 4.50802e-11 0 0 #avg: 4.50802e-11; avg_err: 4.50802e-11; sd: 0; counts: 1
sfh 0.61756 6.35886e-11 0 0 #avg: 6.35886e-11; avg_err: 6.35886e-11; sd: 0; counts: 1
sfh 0.622623 6.80702e-11 0 0 #avg: 6.80702e-11; avg_err: 6.80702e-11; sd: 0; counts: 1
sfh 0.627685 5.73214e-11 0 0 #avg: 5.73214e-11; avg_err: 5.73214e-11; sd: 0; counts: 1
sfh 0.632748 5.30405e-11 0 0 #avg: 5.30405e-11; avg_err: 5.30405e-11; sd: 0; counts: 1
sfh 0.63781 5.85223e-11 0 0 #avg: 5.85223e-11; avg_err: 5.85223e-11; sd: 0; counts: 1
sfh 0.642873 5.63631e-11 0 0 #avg: 5.63631e-11; avg_err: 5.63631e-11; sd: 0; counts: 1
sfh 0.647935 4.80848e-11 0 0 #avg: 4.80848e-11; avg_err: 4.80848e-11; sd: 0; counts: 1
sfh 0.652998 6.02296e-11 0 0 #avg: 6.02296e-11; avg_err: 6.02296e-11; sd: 0; counts: 1
sfh 0.65806 5.44942e-11 0 0 #avg: 5.44942e-11; avg_err: 5.44942e-11; sd: 0; counts: 1
sfh 0.663123 4.6439e-11 0 0 #avg: 4.6439e-11; avg_err: 4.6439e-11; sd: 0; counts: 1
sfh 0.668185 5.70761e-11 0 0 #avg: 5.70761e-11; avg_err: 5.70761e-11; sd: 0; counts: 1
sfh 0.673248 6.14686e-11 0 0 #avg: 6.14686e-11; avg_err: 6.14686e-11; sd: 0; counts: 1
sfh 0.67831 7.24427e-11 0 0 #avg: 7.24427e-11; avg_err: 7.24427e-11; sd: 0; counts: 1
sfh 0.683373 6.77088e-11 0 0 #avg: 6.77088e-11; avg_err: 6.77088e-11; sd: 0; counts: 1
sfh 0.690967 7.91043e-11 0 0 #avg: 7.91043e-11; avg_err: 7.91043e-11; sd: 0; counts: 1
sfh 0.69856 8.02058e-11 0 0 #avg: 8.02058e-11; avg_err: 8.02058e-11; sd: 0; counts: 1
sfh 0.706154 5.62554e-11 0 0 #avg: 5.62554e-11; avg_err: 5.62554e-11; sd: 0; counts: 1
sfh 0.713748 7.4074e-11 0 0 #avg: 7.4074e-11; avg_err: 7.4074e-11; sd: 0; counts: 1
sfh 0.721342 5.26248e-11 0 0 #avg: 5.26248e-11; avg_err: 5.26248e-11; sd: 0; counts: 1
sfh 0.728935 3.67226e-11 0 0 #avg: 3.67226e-11; avg_err: 3.67226e-11; sd: 0; counts: 1
sfh 0.736529 3.52441e-11 0 0 #avg: 3.52441e-11; avg_err: 3.52441e-11; sd: 0; counts: 1
sfh 0.744123 1.54145e-11 0 0 #avg: 1.54145e-11; avg_err: 1.54145e-11; sd: 0; counts: 1
sfh 0.751717 1.39762e-11 0 0 #avg: 1.39762e-11; avg_err: 1.39762e-11; sd: 0; counts: 1
sfh 0.75931 1.28045e-11 0 0 #avg: 1.28045e-11; avg_err: 1.28045e-11; sd: 0; counts: 1
sfh 0.766904 6.24646e-12 0 0 #avg: 6.24646e-12; avg_err: 6.24646e-12; sd: 0; counts: 1
sfh 0.774498 8.88153e-12 0 0 #avg: 8.88153e-12; avg_err: 8.88153e-12; sd: 0; counts: 1
sfh 0.782092 7.34048e-12 0 0 #avg: 7.34048e-12; avg_err: 7.34048e-12; sd: 0; counts: 1
sfh 0.789685 9.6599e-12 0 0 #avg: 9.6599e-12; avg_err: 9.6599e-12; sd: 0; counts: 1
sfh 0.797279 8.73312e-12 0 0 #avg: 8.73312e-12; avg_err: 8.73312e-12; sd: 0; counts: 1
sfh 0.804873 5.33901e-12 0 0 #avg: 5.33901e-12; avg_err: 5.33901e-12; sd: 0; counts: 1
sfh 0.812467 4.87605e-12 0 0 #avg: 4.87605e-12; avg_err: 4.87605e-12; sd: 0; counts: 1
sfh 0.82006 4.604e-12 0 0 #avg: 4.604e-12; avg_err: 4.604e-12; sd: 0; counts: 1
sfh 0.827654 4.25847e-12 0 0 #avg: 4.25847e-12; avg_err: 4.25847e-12; sd: 0; counts: 1
sfh 0.835248 6.37301e-12 0 0 #avg: 6.37301e-12; avg_err: 6.37301e-12; sd: 0; counts: 1
sfh 0.842842 5.2101e-12 0 0 #avg: 5.2101e-12; avg_err: 5.2101e-12; sd: 0; counts: 1
sfh 0.850435 1.94488e-12 0 0 #avg: 1.94488e-12; avg_err: 1.94488e-12; sd: 0; counts: 1
sfh 0.858029 4.2124e-12 0 0 #avg: 4.2124e-12; avg_err: 4.2124e-12; sd: 0; counts: 1
sfh 0.865623 4.07603e-12 0 0 #avg: 4.07603e-12; avg_err: 4.07603e-12; sd: 0; counts: 1
sfh 0.873217 2.9248e-12 0 0 #avg: 2.9248e-12; avg_err: 2.9248e-12; sd: 0; counts: 1
sfh 0.88081 5.61867e-12 0 0 #avg: 5.61867e-12; avg_err: 5.61867e-12; sd: 0; counts: 1
sfh 0.888404 7.15523e-12 0 0 #avg: 7.15523e-12; avg_err: 7.15523e-12; sd: 0; counts: 1
sfh 0.895998 2.91353e-12 0 0 #avg: 2.91353e-12; avg_err: 2.91353e-12; sd: 0; counts: 1
sfh 0.903592 2.62107e-12 0 0 #avg: 2.62107e-12; avg_err: 2.62107e-12; sd: 0; counts: 1
